Date,Forecasted Sales
2017-12-31,955.1341879015297
2018-01-01,1145.1392180525247
2018-01-02,931.4415627875902
2018-01-03,1128.934392906521
2018-01-04,1084.2002483477129
2018-01-05,924.2338472092293
2018-01-06,1044.8626575150001
2018-01-07,1038.4387849628724
2018-01-08,1024.8041859669536
2018-01-09,1045.3997680083717
2018-01-10,1020.3250110114709
2018-01-11,1018.3735496866452
2018-01-12,1033.7275460921862
2018-01-13,1029.062080004198
2018-01-14,1029.1004185268318
2018-01-15,1029.1103872574859
2018-01-16,1026.0983670667588
2018-01-17,1028.0976240549319
2018-01-18,1029.2264098316764
2018-01-19,1028.3218724112583
2018-01-20,1028.3761975265115
2018-01-21,1028.126980552699
2018-01-22,1028.049667781364
2018-01-23,1028.4329151656918
2018-01-24,1028.398954379132
2018-01-25,1028.273437800415
2018-01-26,1028.277642345316
2018-01-27,1028.253005102544
2018-01-28,1028.2902444884128
2018-01-29,1028.3248724433765
